"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.PRM.LCAP.5.R","(De Facto) Average socioemotional score for 1st Graders - Rural",12.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LCAP.5.U","(De Facto) Average socioemotional score for 1st Graders - Urban",17.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LCBC","Policy Lever (Learners) - Center-Based Care",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LCBC.1","(De Jure) Is there a policy that guarantees free education for some or all grades and ages included in pre-primary education (for children age 0-83 months)?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LCBC.2","(De Facto) Percent of children age 36-59 months who are attending an early childhood education programme",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LCBC.3","(De Jure) Are there developmental standards established for early childhood care and education?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LCBC.4","(De Jure) According to laws and regulations, are there requirement to become an early childhood educator, pre-primary teacher?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LCBC.5","(De Jure) According to policy, are ECCE professionals working at public or private centers required to complete in-service training in ECCE service delivery?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LCBC.DF","(De Facto) Policy Lever (Learners) - Center-Based Care",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LCBC.DJ","(De Jure) Policy Lever (Learners) - Center-Based Care",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LERN","Proficiency on GEPD Assessment",0.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.1","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey",0.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.1.F","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Female",0.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.1.M","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Male",0.2,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.1.R","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Rural",0.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.1.U","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Urban",1.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.2","(De Facto) Percent of children proficient in literacy according to GEPD School Survey",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.2.F","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Female",0.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.2.M","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Male",0.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.2.R","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Rural",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.2.U","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Urban",4.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.3","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey",1.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.3.F","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Female",1.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.3.M","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Male",1.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.3.R","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Rural",1.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LERN.3.U","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Urban",0.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LFCP","Policy Lever (Learners) - Caregiver Capacity – Financial Capacity",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LFCP.1","(De Jure) Are anti poverty interventions that focus on ECD publicly supported?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LFCP.2","(De Jure) Are cash transfers conditional on ECD services/enrollment publicly supported?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LFCP.3","(De Jure) Are cash transfers focused partially on ECD publicly supported?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LFCP.4","(De Facto) Coverage of social protection programs",0.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LFCP.DF","(De Facto) Policy Lever (Learners) - Caregiver Capacity – Financial Capacity",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LFCP.DJ","(De Jure) Policy Lever (Learners) - Caregiver Capacity – Financial Capacity",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH","Policy Lever (Learners) - Health",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH.1","(De Jure) Are young children required to receive a complete course of childhood immunizations?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH.2","(De Facto) Percent of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule",83,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LHTH.3","(De Jure) Is there a policy that assures access to healthcare for young children? Either by offering these services free or by subsidizing them",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH.4","(De Facto) Percent of  children under 5 covered by health insurance",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LHTH.5","(De Jure) Are deworming pills funded and distributed by the government?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH.6","(De Facto) Percent of children age 6-59 months who received deworming medication",20.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LHTH.7","(De Jure) Is there a policy that guarantees pregnant women free antenatal visits and skilled delivery?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH.8","(De Facto) Percent of women age 15-49 years with a live birth in the last 2 years whose most recent live birth was delivered in a health facility",70,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LHTH.DF","(De Facto) Policy Lever (Learners) - Health",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LHTH.DJ","(De Jure) Policy Lever (Learners) - Health",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN","Policy Lever (Learners) - Nutrition Programs",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.1","(De Jure) Does a national policy to encourage salt iodization exist?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.2","(De Facto) Percent of households with salt testing positive for any iodide among households",68.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LNTN.3","(De Jure) Does a national policy exist to encourage iron fortification of staples like wheat, maize, or rice?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.4","(De Facto) Percent of children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.5","(De Jure) Does a national policy exist to encourage breastfeeding?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.6","(De Facto) Percent of children born in the five (three) years preceding the survey who were ever breastfed",90.5,"On Target",2022,"cty","PAK-KP"
"SE.PRM.LNTN.7","(De Jure) Is there a publicly funded school feeding program?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.8","(De Facto) Percent of schools reporting having publicly funded school feeding program",1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.LNTN.DF","(De Facto) Policy Lever (Learners) - Nutrition Programs",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LNTN.DJ","(De Jure) Policy Lever (Learners) - Nutrition Programs",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC","Policy Lever (Learners) - Caregiver Capacity – Skills Capacity",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC.1","(De Jure) Does the government offer programs that aim to share good parenting practices with caregivers?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC.2","(De Jure) Are any of the following publicly-supported delivery channels used to reach families in order to promote early childhood stimulation? Home visits, Group sessions, Community health programs, Health center waiting rooms, School-based groups, Mass media/Information campaigns",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC.3","(De Facto) Percent of children under age 5 who have three or more children’s books",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC.4","(De Facto) Percent of children age 24-59 months engaged in four or more activities to provide early stimulation and responsive care in the last 3 days with any adult in the household",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC.DF","(De Facto) Policy Lever (Learners) - Caregiver Capacity – Skills Capacity",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.LSKC.DJ","(De Jure) Policy Lever (Learners) - Caregiver Capacity – Skills Capacity",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.OPMN","Operational Management",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.OPMN.1","(De Facto) Average score for the presence and quality of core operational management functions",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.OPMN.1.F","(De Facto) Average score for the presence and quality of core operational management functions - Female",2.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.OPMN.1.M","(De Facto) Average score for the presence and quality of core operational management functions - Male",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.OPMN.1.R","(De Facto) Average score for the presence and quality of core operational management functions - Rural",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.OPMN.1.U","(De Facto) Average score for the presence and quality of core operational management functions - Urban",2.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.OPMN.2","(De Facto) Average score for infrastructure repair/maintenance",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.OPMN.2.F","(De Facto) Average score for infrastructure repair/maintenance - Female",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.OPMN.2.M","(De Facto) Average score for infrastructure repair/maintenance - Male",3.5,"Caution",2022,"cty","PAK-KP"
"SE.PRM.OPMN.2.R","(De Facto) Average score for infrastructure repair/maintenance - Rural",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.OPMN.2.U","(De Facto) Average score for infrastructure repair/maintenance - Urban",3.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.OPMN.3","(De Facto) Average score for ensuring  availability of school inputs",4.8,"On Target",2022,"cty","PAK-KP"
"SE.PRM.OPMN.3.F","(De Facto) Average score for ensuring  availability of school inputs - Female",4.8,"On Target",2022,"cty","PAK-KP"
"SE.PRM.OPMN.3.M","(De Facto) Average score for ensuring  availability of school inputs - Male",4.8,"On Target",2022,"cty","PAK-KP"
"SE.PRM.OPMN.3.R","(De Facto) Average score for ensuring  availability of school inputs - Rural",4.8,"On Target",2022,"cty","PAK-KP"
"SE.PRM.OPMN.3.U","(De Facto) Average score for ensuring  availability of school inputs - Urban",4.9,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PEDG","Teacher Pedagogical Skills",15.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.1","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score)",15.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.1.F","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Female",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.1.M","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Male",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.1.R","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Rural",15.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.1.U","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Urban",39.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.2","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score)",63.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.2.F","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Female",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.2.M","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Male",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.2.R","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Rural",63.6,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.2.U","(De Facto) Percent of teachers with good classroom culture practices (3 or above on Teach Classroom Culture score) - Urban",77.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.3","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score)",23.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.3.F","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Female",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.3.M","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Male",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.3.R","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Rural",23.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.3.U","(De Facto) Percent of teachers with good instruction practices (3 or above on Teach Instruction score) - Urban",44.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.4","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score)",10.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.4.F","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Female",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.4.M","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Male",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.PEDG.4.R","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Rural",10,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PEDG.4.U","(De Facto) Percent of teachers with good practices on socioemotional skills (3 or above on Teach Socioemotional Skills score) - Urban",21.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW","Principal School Knowledge",3.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PKNW.1","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school",3.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PKNW.1.F","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Female",3.5,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PKNW.1.M","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Male",3.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PKNW.1.R","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Rural",3.4,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PKNW.1.U","(De Facto) Average score for the extent to which principals are familiar with certain key aspects of the day-to-day workings of the school - Urban",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PKNW.2","(De Facto) Percent of principals familiar with teachers' content knowledge",56.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.2.F","(De Facto) Percent of principals familiar with teachers' content knowledge - Female",56.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.2.M","(De Facto) Percent of principals familiar with teachers' content knowledge - Male",56.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.2.R","(De Facto) Percent of principals familiar with teachers' content knowledge - Rural",56.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.2.U","(De Facto) Percent of principals familiar with teachers' content knowledge - Urban",55.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.3","(De Facto) Percent of principals familiar with teachers' experience",100,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PKNW.3.F","(De Facto) Percent of principals familiar with teachers' experience - Female",100,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PKNW.3.M","(De Facto) Percent of principals familiar with teachers' experience - Male",100,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PKNW.3.R","(De Facto) Percent of principals familiar with teachers' experience - Rural",100,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PKNW.3.U","(De Facto) Percent of principals familiar with teachers' experience - Urban",100,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PKNW.4","(De Facto) Percent of principals familiar with availability of classroom inputs",77.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.4.F","(De Facto) Percent of principals familiar with availability of classroom inputs - Female",76.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.4.M","(De Facto) Percent of principals familiar with availability of classroom inputs - Male",78,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.4.R","(De Facto) Percent of principals familiar with availability of classroom inputs - Rural",77.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PKNW.4.U","(De Facto) Percent of principals familiar with availability of classroom inputs - Urban",72.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PMAN","Principal Management Skills",3.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.1","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term",3.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.1.F","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Female",3.5,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.1.M","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Male",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.1.R","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Rural",3.7,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.1.U","(De Facto) Average score for the extent to which principals master two key managerial skills - problem-solving in the short-term, and goal-setting in the long term - Urban",3.6,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.2","(De Facto) Average score for the extent to which principals master problem-solving in the short-term",4.3,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PMAN.2.F","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Female",3.8,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.2.M","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Male",4.4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PMAN.2.R","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Rural",4.3,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PMAN.2.U","(De Facto) Average score for the extent to which principals master problem-solving in the short-term - Urban",4.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.PMAN.3","(De Facto) Average score for the extent to which principals master goal-setting in the long term",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.3.F","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Female",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.3.M","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Male",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.3.R","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Rural",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PMAN.3.U","(De Facto) Average score for the extent to which principals master goal-setting in the long term - Urban",3.1,"Caution",2022,"cty","PAK-KP"
"SE.PRM.PROE","Proficiency by Grade 2/3",23.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.PROE.1","(De Facto) Percent of children proficient in literacy and numeracy by grade 2/3, as reported by UIS",23.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SATT","Policy Lever (School Management) - Attraction",4.7,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SATT.1","(De Jure) Do the national policies governing the education system portray the position of principal or head teacher as professionalized and distinct figure within schools?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SATT.2","(De Facto) Average principal salary as percent of GDP per capita",4.6,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SATT.3","(De Facto) Percent of principals reporting being satisfied or very satisfied with their social status in the community",4.4,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SATT.DF","(De Facto) Policy Lever (School Management) - Attraction",4.7,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SATT.DJ","(De Jure) Policy Lever (School Management) - Attraction",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN","Policy Lever (School Management) - Clarity of Functions",4.9,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.1","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of the maintenance and expansion of school infrastructure?",97.7,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.10","(De Jure) Do the policies governing schools assign the responsibility of student learning assessments?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.11","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of principal hiring and assignment?",97.9,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.12","(De Jure) Do the policies governing schools assign the responsibility of principal hiring and assignment?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.13","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of principal supervision and training?",97.9,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.14","(De Jure) Do the policies governing schools assign the responsibility of principal supervision and training?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.2","(De Jure) Do the policies governing schools assign the responsibility of maintenance and expansion of school infrastructure?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.3","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of the procurement of materials?",98.1,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.4","(De Jure) Do the policies governing schools assign the responsibility of procurement of materials?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.5","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of teacher hiring and assignment?",98.2,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.6","(De Jure) Do the policies governing schools assign the responsibility of teacher hiring and assignment?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.7","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of teacher supervision, training, and coaching?",98.2,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.8","(De Jure) Do the policies governing schools assign the responsibility of teacher supervision, training, and coaching?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SCFN.9","(De Facto) Do you know if the policies governing schools assign responsibility for the implementation of student learning assessments?",98.2,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.DF","(De Facto) Policy Lever (School Management) - Clarity of Functions",4.9,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SCFN.DJ","(De Jure) Policy Lever (School Management) - Clarity of Functions",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SEVL","Policy Lever (School Management) - Evaluation",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.SEVL.1","(De Jure) Is there a policy that specifies the need to monitor principal or head teacher performance?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SEVL.2","(De Jure) Is the criteria to evaluate principals clear and includes multiple factors?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SEVL.3","(De Facto) Percent of principals that report having been evaluated  during the last school year",44.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SEVL.4","(De Facto) Percent of principals that report having been evaluated on multiple factors",94.2,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SEVL.5","(De Facto) Percent of principals that report there would be consequences after two negative evaluations",20.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SEVL.6","(De Facto) Percent of principals that report there would be consequences after two positive evaluations",17.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SEVL.DF","(De Facto) Policy Lever (School Management) - Evaluation",3.2,"Caution",2022,"cty","PAK-KP"
"SE.PRM.SEVL.DJ","(De Jure) Policy Lever (School Management) - Evaluation",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSLD","Policy Lever (School Management) - Selection & Deployment",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SSLD.1","(De Jure) Is there a systematic approach/rubric for the selection of principals?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSLD.10","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is years of experience",74.9,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.11","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is quality of teaching",3.8,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.12","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is demonstrated management qualities",20.1,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.13","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is having a good relationship with the owner of the school",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.14","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is political affiliations",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.15","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is ethnic group",0,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.16","(De Facto) Percent of principals that report that the most important factor considered when selecting a principal is knowledge of the local community",0.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.2","(De Jure) How are the principals selected? Based on the requirements, is the selection system meritocratic?",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSLD.3","(De Facto) Percent of principals that report that the factors considered when selecting a principal include years of experience",99.5,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SSLD.4","(De Facto)  Percent of principals that report that the factors considered when selecting a principal include quality of teaching",79.3,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.5","(De Facto) Percent of principals that report that the factors considered when selecting a principal include demonstrated management qualities",45.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.6","(De Facto) Percent of principals that report that the factors considered when selecting a principal include good relationship with the owner of the school",11.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.7","(De Facto) Percent of principals that report that the factors considered when selecting a principal include political affiliations",16.5,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.8","(De Facto) Percent of principals that report that the factors considered when selecting a principal include ethnic group",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSLD.9","(De Facto) Percent of principals that report that the factors considered when selecting a principal include knowledge of the local community",17.7,"Needs Improvement",2022,"cty","PAK-KP"
"SE.PRM.SSLD.DF","(De Facto) Policy Lever (School Management) - Selection & Deployment",4,"On Target",2022,"cty","PAK-KP"
"SE.PRM.SSLD.DJ","(De Jure) Policy Lever (School Management) - Selection & Deployment",NA,"N/A",2022,"cty","PAK-KP"
"SE.PRM.SSUP","Policy Lever (School Management) - Support",2,"Needs Improvement",2022,"cty","PAK-KP"
